Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 14-Dec-2024 at 15:53:29.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first   6 modes printed


 -------- Mode No.   1  (freq = 0.42632E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000001	-0.000014	-0.000299	-0.007288	-0.000001
 0.1600	 0.000003	 0.000086	-0.001240	-0.016076	-0.000002
 0.2400	 0.000073	 0.001567	-0.003567	-0.041397	-0.000015
 0.3200	 0.000197	 0.001579	-0.008075	-0.070652	-0.000100
 0.4000	 0.000193	-0.001098	-0.015459	-0.112599	-0.000653
 0.4800	 0.000048	-0.002012	-0.027248	-0.179220	-0.001754
 0.5600	-0.000087	-0.001482	-0.044421	-0.247937	-0.003010
 0.6400	-0.000194	-0.001249	-0.066577	-0.305711	-0.004234
 0.7200	-0.000286	-0.001138	-0.092965	-0.355065	-0.005346
 0.8000	-0.000391	-0.001516	-0.122847	-0.394106	-0.006222
 0.9000	-0.000568	-0.001933	-0.164346	-0.434304	-0.006822
 1.0000	-0.000763	-0.001999	-0.209969	-0.469626	-0.007083


 -------- Mode No.   2  (freq = 0.51995E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	 0.000161	 0.003913	-0.000001	-0.000023	 0.000017
 0.1600	 0.000653	 0.008323	-0.000006	-0.000110	 0.000045
 0.2400	 0.001673	 0.016919	-0.000052	-0.000975	 0.000319
 0.3200	 0.003639	 0.031635	-0.000134	-0.001081	 0.001902
 0.4000	 0.007659	 0.066567	-0.000162	 0.000091	 0.012896
 0.4800	 0.015123	 0.116213	-0.000134	 0.000383	 0.044360
 0.5600	 0.026451	 0.163845	-0.000118	 0.000066	 0.096820
 0.6400	 0.041237	 0.204397	-0.000121	-0.000132	 0.158883
 0.7200	 0.058893	 0.237373	-0.000138	-0.000267	 0.215746
 0.8000	 0.078907	 0.264361	-0.000157	-0.000213	 0.253733
 0.9000	 0.106782	 0.292492	-0.000172	-0.000110	 0.272742
 1.0000	 0.137430	 0.316103	-0.000184	-0.000120	 0.266830


 -------- Mode No.   3  (freq = 0.99644E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000024	-0.000587	 0.000000	-0.000003	 0.000018
 0.1600	-0.000097	-0.001213	 0.000000	 0.000001	 0.000047
 0.2400	-0.000241	-0.002342	 0.000004	 0.000091	 0.000317
 0.3200	-0.000501	-0.004059	 0.000010	 0.000075	 0.001769
 0.4000	-0.000971	-0.007299	 0.000009	-0.000074	 0.011425
